Cell_ID,F1_Brownfield,F2_Building,F3_Waste,F4_Flood,F5_Pop,F6_Sensitive
1,0,20.64,0,0.0,80453.96890232732,0.0
2,0,17.47,3,1.18,65240.79389500379,0.0
3,0,19.52,0,10.3,67752.05276231894,0.0
4,0,11.97,0,5.31,39544.52183676103,0.0
5,0,15.48,1,4.17,41695.51284299496,0.0
6,0,8.41,8,23.73,12791.530040618396,0.0
7,0,10.47,6,10.84,742.4298639315296,0.0
8,0,8.74,9,4.31,0,0.0
9,0,25.97,1,0.0,110223.26540902932,0.0
10,0,22.57,1,0.05,88417.0648117222,0.0
11,0,19.18,2,31.19,66156.11489147163,0.0
12,0,13.38,0,6.43,37984.23210199481,0.0
13,0,16.81,1,0.0,44473.386087283056,0.0
14,0,16.99,4,12.38,38591.69741938791,0.0
15,0,13.23,18,84.73,12493.063892554237,0.0
16,0,10.46,16,42.41,0,0.0
17,0,26.09,1,89.51,126031.22694538302,0.0
18,0,22.3,9,83.87,97194.04669867663,0.0
19,0,18.11,3,87.38,58252.941998147486,0.0
20,0,19.49,1,39.23,63014.543660194104,0.0
21,0,16.16,2,31.72,61972.37959010428,0.0
22,0,17.58,5,40.51,47634.78517813158,0.0
23,0,5.03,9,149.06,10184.340057901834,0.0
24,0,11.77,13,63.85,0,0.0
25,0,41.75,1,65.38,51389.98149060478,0.0
26,0,24.42,10,69.01,113042.38164832254,0.0
27,0,18.78,8,129.45,66602.979962896,0.0
28,0,14.52,3,113.83,36714.16572743324,0.0
29,0,9.33,6,135.24,32348.551325538912,0.0
30,0,10.63,5,140.68,5367.6579139439455,0.0
31,0,2.73,19,77.11,2978.5241319071993,0.0
32,0,5.81,32,7.0,17.401167997341137,0.0
33,0,34.63,1,0.0,132428.18985157245,0.0
34,0,23.71,1,1.18,127059.30853256737,0.0
35,0,23.16,3,50.67,81673.27603400678,0.0
36,18.0,26.18,3,56.64,108257.14093250131,0.0
37,37.0,18.27,4,112.62,47625.83829788359,0.0
38,12.0,13.97,11,109.46,29783.660654926152,0.0
39,0,8.53,17,25.85,21607.918348575597,0.0
40,0,0.47,21,1.38,364.0080532594824,0.0
41,0,27.41,1,0.0,129858.3723854518,0.0
42,0,21.92,5,32.08,104648.62794932978,0.0
43,0,23.35,6,15.12,86548.46487756389,0.0
44,2.0,21.65,2,17.07,90347.27903124192,0.0
45,7.0,21.91,1,11.57,75414.04554939075,0.0
46,10.0,17.17,5,1.62,51083.234553291,0.0
47,0,14.5,9,8.23,37462.2111745647,0.0
48,0,8.62,5,4.06,16330.53220134716,0.0
49,0,26.55,0,0.0,107065.13741425722,0.0
50,0,20.6,3,37.19,71009.09992509695,2.26
51,0,22.41,2,0.0,78535.83424373205,0.0
52,0,17.8,4,13.75,51354.0793040128,0.0
53,2.0,17.91,6,2.93,56949.002837887354,0.0
54,10.0,17.07,5,5.71,38622.27708310577,0.0
55,0,20.11,2,3.96,42833.73892631183,0.0
56,0,6.07,2,5.27,12948.085264529238,0.0
57,0,23.15,2,7.13,86008.3977993722,0.0
58,0,20.91,7,68.18,60394.31441947852,0.04
59,0,17.89,1,6.46,55092.23968896264,0.0
60,0,15.27,10,16.69,39536.067596222645,0.0
61,0,9.06,4,5.8,18447.64299356567,0.0
62,1.0,11.41,2,3.62,29918.63880422432,0.0
63,0,13.32,0,3.36,32271.215496061835,0.0
64,0,3.6,1,4.35,7814.881639899853,0.0
