id,latitude,longitude,location_name,feedback_text,category,highlight,rating,source
1,51.55354,0.17674,Eastbrookend Country Park,Stunning country park with horses and rabbits everywhere,ecosystem,0,4.6,Google Places
2,51.55354,0.17674,Eastbrookend Country Park,Great nature reserve largely untouched,ecosystem,1,4.6,Google Places
3,51.55354,0.17674,Eastbrookend Country Park,Not the sort of thing you would expect to find in such an urban area,impressions,1,4.6,Google Places
4,51.55354,0.17674,Eastbrookend Country Park,Free roaming rabbits and horses here,wildlife,0,4.6,Google Places
5,51.55354,0.17674,Eastbrookend Country Park,Hidden gem at sunset with sculpture trail and golden sky,impressions,0,4.6,Google Places
6,51.55432,0.17986,The Chase Nature Reserve,Hundreds of wild rabbits at every turn everywhere,wildlife,1,4.5,Google Places
7,51.55432,0.17986,The Chase Nature Reserve,Eliminates that work life stress,impressions,0,4.5,Google Places
8,51.55432,0.17986,The Chase Nature Reserve,Bird singing everywhere refreshes your mind,wildlife,0,4.5,Google Places
9,51.53181,0.16582,Beam Parklands,Hidden gem of green space in the middle of town,ecosystem,1,4.3,Google Places
10,51.53181,0.16582,Beam Parklands,Full of drinkers and youth. Rubbish everywhere. Shame!,decay,1,4.3,Google Places
11,51.54464,0.13245,Parsloes Park,Beautiful view towards the sunset,impressions,1,4.2,Google Places
12,51.53574,0.15748,Old Dagenham Park,Skatepark surface unusable even grass growing out the cracks,decay,1,4.1,Google Places
13,51.53574,0.15748,Old Dagenham Park,Destroyed and got rid of the children's play area,decay,1,4.1,Google Places
14,51.52623,0.14612,Dagenham Dock Station,Surrounding areas are industrial area,infrastructure,1,3.8,Google Places
15,51.52623,0.14612,Dagenham Dock Station,Lifts were quite dirty with lots of rubbish in them,decay,0,3.8,Google Places
16,51.52623,0.14612,Dagenham Dock Station,Station is very quiet and you can hear the motorway nearby,impressions,0,3.8,Google Places
17,51.52623,0.14612,Dagenham Dock Station,A basic station with no amenities both lifts break down often,decay,0,3.8,Google Places
18,51.51865,0.11877,Barking Riverside,Great views of Thames estuary,impressions,1,3.9,Google Places
19,51.51865,0.11877,Barking Riverside,Bit of a ghost town as area still being developed,decay,1,3.9,Google Places
20,51.51865,0.11877,Barking Riverside,No gyms GP coffee shops pubs or any kind of amenities,decay,1,3.9,Google Places
21,51.51865,0.11877,Barking Riverside,Streetlights non-operational for over a year,decay,1,3.9,Google Places
22,51.51865,0.11877,Barking Riverside,Footpaths in disrepair filled with puddles when it rains,decay,0,3.9,Google Places
23,51.51865,0.11877,Barking Riverside,Surrender areas are full of rubbish and litter shocking conditions,decay,1,3.9,Google Places
