Cell_ID,Brownfield_Pct,Building_Coverage_Pct,Waste_Site_Count,Flood_Zone_Pct,Population,Sensitive_Area_Pct,Cluster
1,0,20.64,0,0,80454,0,4
2,0,17.47,3,1.18,65241,0,3
3,0,19.52,0,10.3,67752,0,4
4,0,11.97,0,5.31,39545,0,3
5,0,15.48,1,4.17,41696,0,3
6,0,8.41,8,23.73,12792,0,3
7,0,10.47,6,10.84,742,0,3
8,0,8.74,9,4.31,0,0,3
9,0,25.97,1,0,110223,0,4
10,0,22.57,1,0.05,88417,0,4
11,0,19.18,2,31.19,66156,0,3
12,0,13.38,0,6.43,37984,0,3
13,0,16.81,1,0,44473,0,3
14,0,16.99,4,12.38,38592,0,3
15,0,13.23,18,84.73,12493,0,1
16,0,10.46,16,42.41,0,0,1
17,0,26.09,1,89.51,126031,0,2
18,0,22.3,9,83.87,97194,0,2
19,0,18.11,3,87.38,58253,0,2
20,0,19.49,1,39.23,63015,0,3
21,0,16.16,2,31.72,61972,0,3
22,0,17.58,5,40.51,47635,0,3
23,0,5.03,9,149.06,10184,0,0
24,0,11.77,13,63.85,0,0,1
25,0,41.75,1,65.38,51390,0,2
26,0,24.42,10,69.01,113042,0,2
27,0,18.78,8,129.45,66603,0,0
28,0,14.52,3,113.83,36714,0,0
29,0,9.33,6,135.24,32349,0,0
30,0,10.63,5,140.68,5368,0,0
31,0,2.73,19,77.11,2979,0,1
32,0,5.81,32,7,17,0,1
33,0,34.63,1,0,132428,0,4
34,0,23.71,1,1.18,127059,0,4
35,0,23.16,3,50.67,81673,0,2
36,18,26.18,3,56.64,108257,0,2
37,37,18.27,4,112.62,47626,0,0
38,12,13.97,11,109.46,29784,0,0
39,0,8.53,17,25.85,21608,0,1
40,0,0.47,21,1.38,364,0,1
41,0,27.41,1,0,129858,0,4
42,0,21.92,5,32.08,104649,0,4
43,0,23.35,6,15.12,86548,0,4
44,2,21.65,2,17.07,90347,0,4
45,7,21.91,1,11.57,75414,0,4
46,10,17.17,5,1.62,51083,0,3
47,0,14.5,9,8.23,37462,0,3
48,0,8.62,5,4.06,16331,0,3
49,0,26.55,0,0,107065,0,4
50,0,20.6,3,37.19,71009,2.26,5
51,0,22.41,2,0,78536,0,4
52,0,17.8,4,13.75,51354,0,3
53,2,17.91,6,2.93,56949,0,3
54,10,17.07,5,5.71,38622,0,3
55,0,20.11,2,3.96,42834,0,3
56,0,6.07,2,5.27,12948,0,3
57,0,23.15,2,7.13,86008,0,4
58,0,20.91,7,68.18,60394,0.04,2
59,0,17.89,1,6.46,55092,0,3
60,0,15.27,10,16.69,39536,0,3
61,0,9.06,4,5.8,18448,0,3
62,1,11.41,2,3.62,29919,0,3
63,0,13.32,0,3.36,32271,0,3
64,0,3.6,1,4.35,7815,0,3
